State,Abbreviation,Annual Rate
Alabama,AL,1235
Alaska,AK,1200
Arizona,AZ,1355
Arkansas,AR,1503
California,CA,1731
Colorado,CO,1547
Connecticut,CT,1831
DC,DE,1827
Delaware,DC,1646
Florida,FL,2050
Georgia,GA,1668
Hawaii,HI,1229
Idaho,ID,989
Illinois,IL,1223
Indiana,IN,1091
Iowa,IA,1025
Kansas,KS,1332
Kentucky,KY,1525
Louisiana,LA,2126
Maine,ME,1176
Maryland,MT,1439
Massachusetts,NE,1176
Michigan,NV,2239
Minnesota,NH,1215
Mississippi,NJ,1410
Missouri,NM,1256
Montana,NY,1446
Nebraska,NC,1214
Nevada,ND,1485
New Hampshire,OH,1039
New Jersey,OK,1383
New Mexico,OR,1352
New York,MD,1361
North Carolina,MA,1104
North Dakota,MI,1086
Ohio,MN,944
Oklahoma,MS,1531
Oregon,MO,1250
Pennsylvania,PA,1130
Rhode Island,RI,1852
South Carolina,SC,1327
South Dakota,SD,1213
Tennessee,TN,1211
Texas,TX,1589
Utah,UT,1131
Vermont,VT,932
Virginia,VA,1013
Washington,WA,1309
West Virginia,WV,1408
Wisconsin,WI,1084
Wyoming,WY,1544
